
09-02-2018 21:56:44:414 - I: 	Loaded bot ../Reference Bots/Python3
09-02-2018 21:56:44:418 - I: 	Loaded bot ../../Our Bot
09-02-2018 21:56:44:418 - I: 	Registered player py3Bot
09-02-2018 21:56:44:418 - I: 	Registered player Adam ganteng
09-02-2018 21:56:44:446 - I: 		OK!
09-02-2018 21:56:46:447 - I: 	Added Command PlaceShipCommand for Player py3Bot
09-02-2018 21:56:46:841 - I: 	Added Command PlaceShipCommand for Player Adam ganteng
09-02-2018 21:56:46:845 - D: 	Beginning round processing
09-02-2018 21:56:46:849 - D: 	Processing Player Commands
09-02-2018 21:56:46:857 - D: 	Killing off players who have no ships left
09-02-2018 21:56:46:857 - D: 	Round processing complete
