
09-02-2018 21:59:27:990 - I: 	Loaded bot ../Reference Bots/Python3
09-02-2018 21:59:27:998 - I: 	Loaded bot ../../Our Bot
09-02-2018 21:59:27:998 - I: 	Registered player py3Bot
09-02-2018 21:59:27:998 - I: 	Registered player Adam ganteng
09-02-2018 21:59:28:034 - I: 		OK!
09-02-2018 21:59:29:981 - I: 	Added Command PlaceShipCommand for Player py3Bot
09-02-2018 21:59:30:344 - I: 	Added Command PlaceShipCommand for Player Adam ganteng
09-02-2018 21:59:30:344 - D: 	Beginning round processing
09-02-2018 21:59:30:348 - D: 	Processing Player Commands
09-02-2018 21:59:30:356 - D: 	Killing off players who have no ships left
09-02-2018 21:59:30:356 - D: 	Round processing complete
