
09-02-2018 22:51:52:049 - I: 	Loaded bot ../Reference Bots/Python3
09-02-2018 22:51:52:065 - I: 	Loaded bot ../../Our Bot
09-02-2018 22:51:52:065 - I: 	Registered player py3Bot
09-02-2018 22:51:52:065 - I: 	Registered player Adam ganteng
09-02-2018 22:51:52:080 - I: 		OK!
09-02-2018 22:51:53:932 - I: 	Added Command PlaceShipCommand for Player py3Bot
09-02-2018 22:51:54:353 - I: 	Added Command PlaceShipCommand for Player Adam ganteng
09-02-2018 22:51:54:353 - D: 	Beginning round processing
09-02-2018 22:51:54:353 - D: 	Processing Player Commands
09-02-2018 22:51:54:353 - D: 	Killing off players who have no ships left
09-02-2018 22:51:54:353 - D: 	Round processing complete
