
13-02-2018 00:54:03:449 - I: 	Loaded bot ..\Reference Bots\Python3
13-02-2018 00:54:03:465 - I: 	Loaded bot ..\..\Our Bot
13-02-2018 00:54:03:465 - I: 	Registered player py3Bot
13-02-2018 00:54:03:465 - I: 	Registered player Stima Santuy
13-02-2018 00:54:03:496 - I: 		OK!
13-02-2018 00:54:06:809 - I: 	Added Command PlaceShipCommand for Player py3Bot
13-02-2018 00:54:07:106 - I: 	Added Command PlaceShipCommand for Player Stima Santuy
13-02-2018 00:54:07:121 - D: 	Beginning round processing
13-02-2018 00:54:07:121 - D: 	Processing Player Commands
13-02-2018 00:54:07:137 - D: 	Killing off players who have no ships left
13-02-2018 00:54:07:137 - D: 	Round processing complete
