
08-02-2018 21:41:57:923 - I: 	Loaded bot ..\Reference Bots\Python3
08-02-2018 21:41:57:939 - I: 	Loaded bot ..\..\Our Bot
08-02-2018 21:41:57:939 - I: 	Registered player py3Bot
08-02-2018 21:41:57:939 - I: 	Registered player Adam ganteng
08-02-2018 21:41:58:114 - I: 		OK!
08-02-2018 21:42:02:787 - I: 	Added Command PlaceShipCommand for Player py3Bot
08-02-2018 21:42:03:281 - I: 	Added Command PlaceShipCommand for Player Adam ganteng
08-02-2018 21:42:03:281 - D: 	Beginning round processing
08-02-2018 21:42:03:297 - D: 	Processing Player Commands
08-02-2018 21:42:03:328 - D: 	Killing off players who have no ships left
08-02-2018 21:42:03:328 - D: 	Round processing complete
