
09-02-2018 22:11:47:095 - I: 	Loaded bot ../Reference Bots/Python3
09-02-2018 22:11:47:107 - I: 	Loaded bot ../../Our Bot
09-02-2018 22:11:47:107 - I: 	Registered player py3Bot
09-02-2018 22:11:47:107 - I: 	Registered player Adam ganteng
09-02-2018 22:11:47:151 - I: 		OK!
09-02-2018 22:11:48:873 - I: 	Added Command PlaceShipCommand for Player py3Bot
09-02-2018 22:11:49:259 - I: 	Added Command PlaceShipCommand for Player Adam ganteng
09-02-2018 22:11:49:263 - D: 	Beginning round processing
09-02-2018 22:11:49:267 - D: 	Processing Player Commands
09-02-2018 22:11:49:275 - D: 	Killing off players who have no ships left
09-02-2018 22:11:49:275 - D: 	Round processing complete
